Year,TotalGrowthAv,GMToyotaFord_GrowthAv,Toyota_Growth,Tesla_Growth,GM_Growth,Ford_Growth
2019,-2.29,-3.16,-2.02,0.33,-3.79,-3.68
2018,69.33,-1.61,-0.05,282.15,-1.45,-3.34
2017,0.98,-0.44,1.08,5.25,-1.46,-0.94
2016,21.48,-0.52,0.37,87.46,-1.36,-0.57
2015,16.69,4.83,4.7,52.29,4.52,5.26
2014,2.29,3.05,5.83,0.0,4.43,-1.11
2013,5.92,7.9,7.31,0.0,5.16,11.23
2012,8.91,11.88,26.34,0.0,4.27,5.04
2011,6.2,8.26,-6.16,0.0,13.55,17.39
2010,9.49,12.66,-0.51,0.0,16.83,21.65
2009,-14.59,-19.45,-18.85,0.0,-25.24,-14.26
2008,-13.65,-18.21,-14.7,0.0,-20.43,-19.49
2007,-3.52,-4.7,5.59,0.0,-6.1,-13.58
2006,-1.06,-1.41,13.67,0.0,-9.6,-8.31
2005,-0.16,-0.22,7.65,0.0,-3.54,-4.77
2004,1.17,1.57,4.84,0.0,4.04,-4.18
2003,0.33,0.44,4.84,0.0,-0.05,-3.47
2002,-2.66,-3.55,0.31,0.0,-1.75,-9.22
2001,1.36,1.82,7.37,0.0,2.83,-4.74
2000,2.77,3.69,9.59,0.0,0.21,1.28
1999,4.61,6.14,7.04,0.0,7.57,3.82
1998,1.6,2.13,6.38,0.0,-2.35,2.36
1997,0.94,1.26,5.04,0.0,-2.24,0.98
1996,1.92,2.57,7.67,0.0,0.0,0.03
1995,-1.99,-2.66,-7.97,0.0,0.0,0.0
1994,5.5,7.33,21.98,0.0,0.0,0.0
1993,0.08,0.1,0.3,0.0,0.0,0.0
1992,-1.33,-1.77,-5.32,0.0,0.0,0.0
1991,-1.35,-1.8,-5.39,0.0,0.0,0.0
1990,1.72,2.29,6.86,0.0,0.0,0.0
1989,-0.18,-0.25,-0.74,0.0,0.0,0.0
1988,0.33,0.44,1.31,0.0,0.0,0.0
1987,-2.14,-2.85,-8.55,0.0,0.0,0.0
1986,1.87,2.5,7.49,0.0,0.0,0.0
1985,3.58,4.77,14.31,0.0,0.0,0.0
1984,3.28,4.37,13.12,0.0,0.0,0.0
1983,1.94,2.58,7.75,0.0,0.0,0.0
1982,-1.32,-1.75,-5.26,0.0,0.0,0.0
1981,-0.06,-0.09,-0.26,0.0,0.0,0.0
