Year,Toyota_Sales,Tesla_Sales,GM_Sales,Ford_Sales,Toyota_Growth,Tesla_Growth,GM_Growth,Ford_Growth,Toyota_Market_Share,Tesla_Market_Share,GM_Market_Share,Ford_Market_Share,GMToyotaFord_SalesAv,GMToyotaFord_GrowthAv,TotalSalesAv,TotalGrowthAv
2019,2085186.0,192250.0,1958783.0,2293984.0,-2.02,0.33,-3.79,-3.68,12.22,1.12,11.46,13.42,2112651.0,-3.16,1632550.75,-2.29
2018,2128201.0,191627.0,2036023.0,2381635.0,-0.05,282.15,-1.45,-3.34,12.28,1.11,11.75,13.74,2181953.0,-1.61,1684371.5,69.33
2017,2129177.0,50145.0,2065879.0,2464041.0,1.08,5.25,-1.46,-0.94,12.35,0.29,12.0,14.29,2219699.0,-0.44,1677310.5,0.98
2016,2106332.0,47644.0,2096508.0,2487487.0,0.37,87.46,-1.36,-0.57,12.01,0.27,11.95,14.18,2230109.0,-0.52,1684492.75,21.48
2015,2098545.0,25416.0,2125347.0,2501855.0,4.7,52.29,4.52,5.26,12.01,0.13,12.17,14.32,2241915.67,4.83,1687790.75,16.69
2014,2004373.0,16689.0,2033442.0,2376841.0,5.83,0.0,4.43,-1.11,12.12,0.11,12.3,14.38,2138218.67,3.05,1607836.25,2.29
2013,1893874.0,0.0,1947125.0,2403542.0,7.31,0.0,5.16,11.23,12.15,0.0,12.5,15.42,2081513.67,7.9,1561135.25,5.92
2012,1764802.0,0.0,1851646.0,2160859.0,26.34,0.0,4.27,5.04,12.18,0.0,12.78,14.91,1925769.0,11.88,1444326.75,8.91
2011,1396837.0,0.0,1775802.0,2057210.0,-6.16,0.0,13.55,17.39,10.93,0.0,13.9,16.1,1743283.0,8.26,1307462.25,6.2
2010,1488588.0,0.0,1563881.0,1752511.0,-0.51,0.0,16.83,21.65,12.84,0.0,13.49,15.12,1601660.0,12.66,1201245.0,9.49
2009,1496211.0,0.0,1338612.0,1440653.0,-18.85,0.0,-25.24,-14.26,14.34,0.0,12.83,13.81,1425158.67,-19.45,1068869.0,-14.59
2008,1843669.0,0.0,1790519.0,1680321.0,-14.7,0.0,-20.43,-19.49,13.92,0.0,13.52,12.69,1771503.0,-18.21,1328627.25,-13.65
2007,2161467.0,0.0,2250352.0,2087048.0,5.59,0.0,-6.1,-13.58,13.38,0.0,13.93,12.92,2166289.0,-4.7,1624716.75,-3.52
2006,2047057.0,0.0,2396532.0,2415059.0,13.67,0.0,-9.6,-8.31,12.36,0.0,14.47,14.58,2286216.0,-1.41,1714662.0,-1.06
2005,1800915.0,0.0,2651124.0,2634041.0,7.65,0.0,-3.54,-4.77,10.6,0.0,15.6,15.5,2362026.67,-0.22,1771520.0,-0.16
2004,1672862.0,0.0,2748365.0,2766025.0,4.84,0.0,4.04,-4.18,9.89,0.0,16.25,16.35,2395750.67,1.57,1796813.0,1.17
2003,1595660.0,0.0,2641586.0,2886575.0,4.84,0.0,-0.05,-3.47,9.57,0.0,15.84,17.31,2374607.0,0.44,1780955.25,0.33
2002,1522018.0,0.0,2642786.0,2990472.0,0.31,0.0,-1.75,-9.22,9.1,0.0,15.7,17.8,2385092.0,-3.55,1788819.0,-2.66
2001,1517271.0,0.0,2689954.0,3294190.0,7.37,0.0,2.83,-4.74,8.9,0.0,15.7,19.2,2500471.67,1.82,1875353.75,1.36
2000,1413169.0,0.0,2615884.0,3457996.0,9.59,0.0,0.21,1.28,8.1,0.0,15.1,19.9,2495683.0,3.69,1871762.25,2.77
1999,1289551.0,0.0,2610324.0,3414169.0,7.04,0.0,7.57,3.82,7.6,0.0,15.5,20.2,2438014.67,6.14,1828511.0,4.61
1998,1204765.0,0.0,2426530.0,3288544.0,6.38,0.0,-2.35,2.36,7.8,0.0,15.6,21.2,2306613.0,2.13,1729959.75,1.6
1997,1132527.0,0.0,2484945.0,3212698.0,5.04,0.0,-2.24,0.98,7.5,0.0,16.4,21.2,2276723.33,1.26,1707542.5,0.94
1996,1078189.0,0.0,0.0,3181378.0,7.67,0.0,0.0,0.03,7.1,0.0,0.0,21.1,1419855.67,2.57,1064891.75,1.92
1995,1001407.0,0.0,0.0,0.0,-7.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333802.33,-2.66,250351.75,-1.99
1994,1088082.0,0.0,0.0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362694.0,7.33,272020.5,5.5
1993,892010.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297336.67,0.1,223002.5,0.08
1992,889331.0,0.0,0.0,0.0,-5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296443.67,-1.77,222332.75,-1.33
1991,939274.0,0.0,0.0,0.0,-5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313091.33,-1.8,234818.5,-1.35
1990,992760.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330920.0,2.29,248190.0,1.72
1989,929051.0,0.0,0.0,0.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309683.67,-0.25,232262.75,-0.18
1988,935960.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311986.67,0.44,233990.0,0.33
1987,923889.0,0.0,0.0,0.0,-8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307963.0,-2.85,230972.25,-2.14
1986,1010229.0,0.0,0.0,0.0,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336743.0,2.5,252557.25,1.87
1985,939794.0,0.0,0.0,0.0,14.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313264.67,4.77,234948.5,3.58
1984,822164.0,0.0,0.0,0.0,13.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274054.67,4.37,205541.0,3.28
1983,726818.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242272.67,2.58,181704.5,1.94
1982,674554.0,0.0,0.0,0.0,-5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224851.33,-1.75,168638.5,-1.32
1981,711993.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237331.0,-0.09,177998.25,-0.06
